latitude,longitude,amountpaidonbuildingclaim,state,reportedzipcode
24.7,-81.0,7697.19,FL,33050
26.5,-82.0,0.0,FL,33957
24.7,-81.0,14820.23,FL,33050
26.4,-81.9,7098.28,FL,33931
24.6,-81.6,4800.91,FL,33042
26.2,-80.2,0.0,FL,33309
28.3,-81.3,0.0,FL,34769
28.3,-81.3,8659.45,FL,34769
26.6,-81.9,22761.77,FL,33901
26.2,-80.2,0.0,FL,33068
24.7,-81.4,490.0,FL,33043
29.8,-81.3,0.0,FL,32086
27.5,-82.6,7253.09,FL,34208
27.5,-82.6,0.0,FL,34208
24.8,-80.9,20716.52,FL,33050
26.2,-80.1,0.0,FL,33334
27.4,-82.5,0.0,FL,34203
24.8,-80.9,1025.74,FL,33050
29.0,-80.9,8368.97,FL,32169
27.8,-82.3,24193.53,FL,33569
26.4,-82.0,0.0,FL,33957
27.3,-82.5,43859.62,FL,34237
24.8,-80.8,4825.49,FL,33001
24.7,-81.4,1935.28,FL,33043
24.7,-81.1,16183.61,FL,33050
26.5,-82.0,0.0,FL,33921
30.4,-84.2,0.0,FL,32301
26.9,-82.3,4131.01,FL,34224
25.8,-80.3,4339.44,FL,33144
